DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(1.5m);Dir#1(1.5m);Speed#2(2.5m);Dir#2(2.5m);Speed#3(3.5m);Dir#3(3.5m);Speed#4(4.5m);Dir#4(4.5m);Speed#5(5.5m);Dir#5(5.5m);Speed#6(6.5m);Dir#6(6.5m);Speed#7(7.5m);Dir#7(7.5m);Speed#8(8.5m);Dir#8(8.5m);Speed#9(9.5m);Dir#9(9.5m);Speed#10(10.5m);Dir#10(10.5m);Speed#11(11.5m);Dir#11(11.5m);Speed#12(12.5m);Dir#12(12.5m)
3/08/2023 13:00;11.7;326.3;-8.7;8.9;15.112;19.22;0;0;0.103;119.05;0.102;158.72;0.092;158.43;0.111;153.9;0.064;106.44;0.056;62.53;0.063;32.68;0.037;32.83;0.099;9.84;0.132;50.86;0.126;37.6;0.121;69.78
3/08/2023 13:10;11.7;326.3;-8.7;8.9;15.015;19.13;0;0;0.097;160.07;0.103;131.86;0.031;187.35;0.012;214.99;0.042;0;0.003;0;0.033;270;0.058;339.68;0.107;2.14;0.094;348.93;0.078;14.93;0.116;12.48
3/08/2023 13:20;11.7;326.3;-8.6;8.9;14.995;19;0;0;0.12;143.8;0.018;206.57;0.013;161.57;0.014;129.29;0.047;283.45;0.059;233.33;0.022;185.19;0.016;307.57;0.08;334.72;0.12;329.36;0.026;24.62;0.151;20.96
3/08/2023 13:30;11.7;326.3;-8.7;8.9;15.049;18.87;0;0;0.112;126.67;0.14;145.51;0.106;162.94;0.114;133.93;0.045;128.66;0.075;157.2;0.043;122.57;0.056;59.74;0.062;13.13;0.094;329.35;0.072;357.61;0.144;27.63
3/08/2023 13:40;11.7;326.3;-8.7;8.9;15.059;18.76;0;0;0.103;129.09;0.106;164.13;0.113;158.2;0.081;148.67;0.05;151.39;0.019;111.25;0.02;59.53;0.035;49.57;0.089;4.5;0.076;7.59;0.154;342.98;0.197;346.81
3/08/2023 13:50;11.7;326.3;-8.7;8.9;15.005;18.67;0;0;0.122;134.01;0.072;165.58;0.045;105.59;0.006;90;0.041;185.57;0.063;226.93;0.052;219.52;0.043;271.33;0.061;308.37;0.103;314.6;0.128;319.74;0.145;356.45
3/08/2023 14:00;11.7;326.3;-8.7;8.9;15.032;18.64;0;0;0.109;173.66;0.106;147.36;0.106;224.24;0.056;111.99;0.043;119.58;0.017;342.65;0.012;165.96;0.041;289.75;0.024;265.24;0.052;326;0.109;323.24;0.196;357.08
3/08/2023 14:10;11.7;326.3;-8.7;8.9;15.049;18.59;0;0;0.118;131.92;0.105;150.26;0.09;163.18;0.091;135.9;0.042;215.22;0.048;226.68;0.065;205.39;0.057;192.09;0.02;200.22;0.071;328.76;0.051;299.05;0.088;350.86
3/08/2023 14:20;11.7;326.3;-8.7;8.9;15.005;18.55;0;0;0.121;170.93;0.115;159.68;0.141;168.13;0.078;184.4;0.063;169.05;0.055;199.09;0.037;216.25;0.028;297.47;0.031;352.65;0.046;349.92;0.079;355.66;0.113;10.21
3/08/2023 14:30;11.7;326.3;-8.7;8.9;15.058;18.54;0;0;0.151;140.39;0.156;152.94;0.079;125.71;0.074;127.33;0.038;150.07;0.009;310.6;0.014;230.71;0.02;275.71;0.019;325.49;0.051;339.44;0.103;337.68;0.142;347.82
3/08/2023 14:40;11.7;326.3;-8.7;8.9;15.068;18.56;0;0;0.123;145.92;0.102;149.42;0.08;159.53;0.111;85.88;0.094;101.67;0.064;152.24;0.089;174.86;0.091;182.52;0.024;172.87;0.041;99.93;0.064;342.7;0.114;3.01
3/08/2023 14:50;11.7;326.3;-8.7;8.9;15.027;18.56;0;0;0.128;158.87;0.161;176.45;0.103;167.71;0.097;124.51;0.036;172.09;0.058;133.6;0.047;115.46;0.028;117.47;0.053;152.95;0.045;42.27;0.078;8.86;0.117;8.34
3/08/2023 15:00;11.7;326.3;-8.7;8.9;15.076;18.58;0;0;0.14;171.81;0.152;159.18;0.127;149.19;0.105;126.87;0.07;120.96;0.051;120.58;0.034;107.35;0.035;18.43;0.016;42.51;0.038;111.8;0.068;27.32;0.169;2.37
3/08/2023 15:10;11.7;326.3;-8.7;8.9;15.127;18.63;0;0;0.061;91.88;0.053;160.2;0.057;124.25;0.084;154.65;0.021;73.3;0.049;12.91;0.042;2.73;0.015;0;0.013;261.25;0.026;322.7;0.057;14.28;0.126;3.63
3/08/2023 15:20;11.7;326.3;-8.7;8.9;15.151;18.63;0;0;0.122;180;0.115;146.03;0.111;193.54;0.135;169.35;0.118;145.37;0.057;135;0.047;93.65;0.015;176.19;0.134;164.41;0.062;177.23;0.009;347.47;0.075;359.24
3/08/2023 15:30;11.7;326.3;-8.7;8.9;15.187;18.62;0;0;0.082;199.98;0.069;139.13;0.082;142.43;0.09;137.25;0.03;178.09;0.033;222.51;0.031;148.39;0.042;136.91;0.054;356.82;0.041;355.82;0.031;51.63;0.132;359.13
